Country,ISO3C,Species,Datasources,Datasource: farm locations,Datasource: number of farms,Details,Data year,Number of total farms,"Known farms, location","Known farms, no location",Estimated Farms
Mexico,MEX,Shrimp,Aquaculture Stewardship Council Data Mapping Study ,Aquaculture Stewardship Council Data Mapping Study ,NA,"Map provides points for 11 ASC certified farms (may include inactive farms). This data is not comprehensive. Because of this 435 more farms were estimated using our gapfilling technique, and placed using our suitability layer.",2021,446,11,0,435
Myanmar,MMR,Shrimp,NA,NA,NA,"There was no available information on the number of farms or locations of farms in Myanmar. We estimated a number of farms based on a global tonnes per farm, and placed 165 shrimp farms along the Burmese coast using our suitability layer.",NA,165,0,0,165
New Caledonia,NCL,Shrimp,Aquaculture Stewardship Council Data Mapping Study ,Aquaculture Stewardship Council Data Mapping Study ,NA,"Map provides points for 2 ASC certified farms (may include inactive farms). This data is not comprehensive. Because of this 3 more farms were estimated using our gapfilling technique, and placed using our suitability layer.",2021,5,2,0,3
Nicaragua,NIC,Shrimp,Aquaculture Stewardship Council Data Mapping Study ,Aquaculture Stewardship Council Data Mapping Study ,NA,"Map provides points for 2 ASC certified farms (may include inactive farms). This data is not comprehensive. Because of this 72 more farms were estimated using our gapfilling technique, and placed using our suitability layer.",2021,74,2,0,72
Panama,PAN,Shrimp,Aquaculture Stewardship Council Data Mapping Study ,Aquaculture Stewardship Council Data Mapping Study ,NA,"Map provides points for 1 ASC certified farm (may include inactive farms). This data is not comprehensive. Because of this 22 more farms were estimated using our gapfilling technique, and placed using our suitability layer.",2021,23,1,0,22
Peru,PER,Shrimp,"Aquaculture Stewardship Council Data Mapping Study 
Herwijnen, J. van, 2018. Shrimp in Peru.",Aquaculture Stewardship Council Data Mapping Study ,"Herwijnen, J. van, 2018. Shrimp in Peru.",Map provides points for 1 ASC certified farm (may include inactive farms). This data is not comprehensive. Because of this 71 more farms were added based on Seafood Tip documentation and placed using our suitability layer.,"2021, 2018",72,1,71,0
Philippines,PHL,Shrimp,"Vergel, 2017",NA,"Vergel, 2017","271 farms were allocated based on Vergel 2017, and placed using our suitability layer.",2017,271,0,271,0
Republic of Korea,KOR,Shrimp,NA,NA,NA,"There was no available information on the number of farms or locations of farms in South Korea. We estimated a number of farms based on a global tonnes per farm, and placed 16 shrimp farms along the Korean coast using our suitability layer.",NA,16,0,0,16
Saudi Arabia,SAU,Shrimp,"National Aquaculture Group;
Saudi Fish Company ","National Aquaculture Group;
Saudi Fish Company ",NA,"The 2 farm locations that are mapped are the Saudi Fish Company and the National Aquaculture Group. However, these points are not comprehensive, and only represent two companies in Saudi Arabia. Because of this 115 more farms were estimated using our gapfilling technique, and placed using our suitability layer.",2020,117,2,0,115
Sri Lanka,LKA,Shrimp,"National Aquaculture Sector Overview. Sri Lanka, 2004",NA,"National Aquaculture Sector Overview. Sri Lanka, 2004","130 farms were allocated based on FAO documentation, and placed using our suitability layer.",2002,130,0,130,0
Taiwan,TWN,Shrimp,NA,NA,NA,"There was no available information on the number of farms or locations of farms in Taiwan. We estimated a number of farms based on a global tonnes per farm, and placed 15 shrimp farms along the coast using our suitability layer.",NA,15,0,0,15
Thailand,THA,Shrimp,Aquaculture Stewardship Council Data Mapping Study ,Aquaculture Stewardship Council Data Mapping Study ,NA,"Map provides points for 18 ASC certified farms (may include inactive farms). This data is not comprehensive. Because of this 1050 more farms were estimated using our gapfilling technique, and placed using our suitability layer.",2021,1068,18,0,1050
United States of America ,USA,Shrimp,"Monterey Bay Aquarium Seafood Watch Report on Whiteleg Shrimp Farming in the United States, 2014;
Texas: Texas Aquaculture Locations;
Alabama: Shrimp companies found on Google maps;
Hawaii: Shrimp companies found on Google maps;
Florida: Shrimp companies found on Google maps 
","Monterey Bay Aquarium Seafood Watch Report on Whiteleg Shrimp Farming in the United States, 2014;
Texas: Texas Aquaculture Locations;
Alabama: Shrimp companies found on Google maps;
Hawaii: Shrimp companies found on Google maps;
Florida: Shrimp companies found on Google maps 
",NA,"Placed points according to locations on google maps, and locations provided in map of Texas aquaculture. The number of farms placed matches the number given in the Seafood Watch report.","2018, 2020",10,10,0,0
Venezuela,VEN,Shrimp,Aquaculture Stewardship Council Data Mapping Study ,Aquaculture Stewardship Council Data Mapping Study ,NA,"Map provides points for 11 ASC certified farms (may include inactive farms). This data is not comprehensive. Because of this 62 more farms were estimated using our gapfilling technique, and placed using our suitability layer.",2021,73,11,0,62
Viet Nam,VNM,Shrimp,Aquaculture Stewardship Council Data Mapping Study ,Aquaculture Stewardship Council Data Mapping Study ,NA,"Map provides points for 173 ASC certified farms (may include inactive farms). This data is not comprehensive. Because of this 1932 more farms were estimated using our gapfilling technique, and placed using our suitability layer.",2021,2105,173,0,1932
Australia,AUS,Unfed or algae fed shellfish,"Aquaculture Species, 2021;

Aquaculture Stewardship Council Data Mapping Study; 

Oysters South Australia, 2021
","Aquaculture Stewardship Council Data Mapping Study; Oysters South Australia, 2021","Aquaculture Species, 2021","Map provides points for 1 ASC certified farms and 23 farms from Oysters South Australia (may include inactive farms). This data is not comprehensive. Because of this 45 more farms were added based on OceanWatch Australia and Oysters South Australia documentation, and placed using our suitability layer. This included 20 abalone farms, and 25 mussel farms.",2021,69,24,45,0
Brazil,BRA,Unfed or algae fed shellfish,"Suplicy et al., 2017",NA,"Suplicy et al., 2017","27 farms were allocated based on Suplicy et al. 2017, and placed using our suitability layer.",2017,27,0,27,0
Bulgaria,BGR,Unfed or algae fed shellfish,EMODnet Human Activities: Shellfish aquaculture 2019,EMODnet Human Activities: Shellfish aquaculture 2019,NA,Maps provide exact locations of bivalve farms.,2019,44,44,0,0
Cambodia,KHM,Unfed or algae fed shellfish,NA,NA,NA,"There was no available information on the number of farms or locations of farms in Cambodia. We estimated a number of farms based on a global tonnes per farm, and placed 30 shellfish farms along the coast using our suitability layer.",NA,30,0,0,30
Chile,CHL,Unfed or algae fed shellfish,Undersecretariat for Fisheries and Aquaculture 2020 ,Undersecretariat for Fisheries and Aquaculture 2020 ,NA,Governmental lease data used to identify commercial shellfish farms (may include inactive sites).,2020,1870,1870,0,0
China,CHN,Unfed or algae fed shellfish,Aquaculture Stewardship Council Data Mapping Study ,Aquaculture Stewardship Council Data Mapping Study ,NA,"Map provides points for 11 ASC certified farms (may include inactive farms). This data is not comprehensive. Because of this 51679 more farms were estimated using our gapfilling technique, and placed using our suitability layer.",2021,51679,11,0,51668
Canada,CAN,Unfed or algae fed shellfish,"British Columbia: Shellfish Hatcheries - Coastal Resource Information Management System (CRIMS), Ministry of Forests, Lands, Natural Resource Operations and Rural Development 2019;

Nova Scotia: Shellfish Hatcheries - Coastal Resource Information Management System (CRIMS), Ministry of Forests, Lands, Natural Resource Operations and Rural Development 2019","British Columbia: Shellfish Hatcheries - Coastal Resource Information Management System (CRIMS), Ministry of Forests, Lands, Natural Resource Operations and Rural Development 2019;

Nova Scotia: Shellfish Hatcheries - Coastal Resource Information Management System (CRIMS), Ministry of Forests, Lands, Natural Resource Operations and Rural Development 2019",NA,Maps provide exact locations of bivalve farms.,2019,175,175,0,0
Croatia,HRV,Unfed or algae fed shellfish,"Lukin, 2014",NA,"Lukin, 2014","266 farms were allocated based on Lukin 2014, and placed using our suitability layer.",2014,266,0,266,0
Cuba,CUB,Unfed or algae fed shellfish,"Mazon Suastegui et al., 2017","Mazon Suastegui et al., 2017",NA,"4 points were placed based on information provided in Mazon Suastegui et al. 2017. Although this is not comprehensive, our gapfilling method suggested that no more farms needed to be added based on production per farm.",2017,4,0,4,0
Denmark,DNK,Unfed or algae fed shellfish,"HELCOM HOLAS II Dataset: Shellfish mariculture, 2017","HELCOM HOLAS II Dataset: Shellfish mariculture, 2017",NA,Maps provide exact locations of bivalve farms.,2017,42,42,0,0
France,FRA,Unfed or algae fed shellfish,EMODnet Human Activities: Shellfish aquaculture 2019,EMODnet Human Activities: Shellfish aquaculture 2019,NA,Maps provide exact locations of bivalve farms.,2019,245,245,0,0
French Polynesia,PYF,Unfed or algae fed shellfish,"The aquaculture sectors in French Polynesia, Department of Marine Resources Pu Fa'Ahotu Moana 2019","The aquaculture sectors in French Polynesia, Department of Marine Resources Pu Fa'Ahotu Moana 2019",NA,Placed 2 farms in the lagoons indicated in the report.,2019,2,2,0,0
Germany,DEU,Unfed or algae fed shellfish,"HELCOM HOLAS II Dataset: Shellfish mariculture, 2017;
Avdelas et al., 2021","HELCOM HOLAS II Dataset: Shellfish mariculture, 2017;
Avdelas et al., 2021",NA,"Map provides points for 1 farm (may include inactive farms). This data is not comprehensive. Because of this 10 more farms were added based on Avdelas et al. 2021, and placed using our suitability layer.","2017, 2021",11,1,10,0
Greece,GRC,Unfed or algae fed shellfish,EMODnet Human Activities: Shellfish aquaculture 2019,EMODnet Human Activities: Shellfish aquaculture 2019,NA,Maps provide exact locations of commercial bivalve farms.,2019,174,174,0,0
Guernsey,GGY,Unfed or algae fed shellfish,"Fishing and Aquaculture, Government of the States of Guernsey 2020",NA,"Fishing and Aquaculture, Government of the States of Guernsey 2020","7 farms were allocated based on governmental lease data, and placed using our suitability layer.",2020,7,0,7,0
Hong Kong ,HKG,Unfed or algae fed shellfish,"“Marine fish culture, pond fish culture and oyster culture,” Agriculture, Fisheries, and Conservation Department; The Government of the Hong Kong Special Administrative Region, 2020","“Marine fish culture, pond fish culture and oyster culture,” Agriculture, Fisheries, and Conservation Department; The Government of the Hong Kong Special Administrative Region, 2020",NA,Placed 1 farm in the area indicated in the map provided by the government of Hong Kong. ,2020,1,1,0,0
India,IND,Unfed or algae fed shellfish,"National Aquaculture Sector Overview. India, 2005",NA,"National Aquaculture Sector Overview. India, 2005","250 farms were allocated based on FAO documentation, and placed using our suitability layer.",2002,250,0,250,0
Indonesia,IDN,Unfed or algae fed shellfish,"Network of Aquaculture Centres in Asia: Status of oyster culture in selected Asian countries, 1988","Network of Aquaculture Centres in Asia: Status of oyster culture in selected Asian countries, 1988",NA,"Map from the report provides points for 9 farms (may include inactive farms). This data is not comprehensive. Because of this 211 more farms were estimated using our gapfilling technique, and placed using our suitability layer.",1988,220,9,0,211
Ireland,IRL,Unfed or algae fed shellfish,EMODnet Human Activities: Shellfish aquaculture 2019,EMODnet Human Activities: Shellfish aquaculture 2019,NA,Maps provide exact locations of bivalve farms.,2019,913,913,0,0
Italy,ITA,Unfed or algae fed shellfish,EMODnet Human Activities: Shellfish aquaculture 2019,EMODnet Human Activities: Shellfish aquaculture 2019,NA,Maps provide exact locations of bivalve farms.,2019,133,133,0,0
Japan,JPN,Unfed or algae fed shellfish,Aquaculture Stewardship Council Data Mapping Study ,Aquaculture Stewardship Council Data Mapping Study ,NA,"Map provides points for 55 ASC certified farms (may include inactive farms). This data is not comprehensive. Because of this 1036 more farms were estimated using our gapfilling technique, and placed using our suitability layer.",2021,1091,55,0,1036
Jersey,JEY,Unfed or algae fed shellfish,"Fish and shellfish farming, Government of Jersey: Information and public services for the Island of Jersey 2020;

Aquaculture Stewardship Council Data Mapping Study ","Fish and shellfish farming, Government of Jersey: Information and public services for the Island of Jersey 2020;

Aquaculture Stewardship Council Data Mapping Study ",NA,Map provides the locations of the 5 shellfish farms in Jersey.,"2020, 2021",5,5,0,0
Democratic People’s Republic of Korea,PRK,Unfed or algae fed shellfish,NA,NA,NA,"There was no available information on the number of farms or locations of farms in North Korea. We estimated a number of farms based on a global tonnes per farm, and placed 219 shellfish farms along the North Korean coast using our suitability layer.",NA,219,0,0,219
Malaysia,MYS,Unfed or algae fed shellfish,NA,NA,NA,"There was no available information on the number of farms or locations of farms in Malaysia. We estimated a number of farms based on a global tonnes per farm, and placed 57 shellfish farms along the coast using our suitability layer.",NA,57,0,0,57
Mexico,MEX,Unfed or algae fed shellfish,Aquaculture Stewardship Council Data Mapping Study ,Aquaculture Stewardship Council Data Mapping Study ,NA,"Map provides points for 1 ASC certified farm (may include inactive farms). This data is not comprehensive. Because of this 54 more farms were estimated using our gapfilling technique, and placed using our suitability layer.",2021,55,1,0,54
Netherlands,NLD,Unfed or algae fed shellfish,"EMODnet Human Activities: Shellfish aquaculture, 2019;

National Aquaculture Sector Overview, FAO Fisheries Division. Netherlands, 2005","EMODnet Human Activities: Shellfish aquaculture, 2019","National Aquaculture Sector Overview, FAO Fisheries Division. Netherlands, 2005","Map provides points for 6 farms (may include inactive farms). This data is not comprehensive. Because of this 76 more farms were added based on FAO documentation, and placed using our suitability layer.","2019, 2005",82,6,76,0
New Zealand,NZL,Unfed or algae fed shellfish,"Aquaculture Stewardship Council Data Mapping Study; 
National Aquaculture Sector Overview, FAO Fisheries Division. New Zealand, 2005",Aquaculture Stewardship Council Data Mapping Study,"National Aquaculture Sector Overview, FAO Fisheries Division. New Zealand, 2005","Map provides points for 2 ASC certified farms (may include inactive farms). This data is not comprehensive. Because of this 908 more farms were added based on FAO documentation, and placed using our suitability layer.","2021, 2005",910,2,908,0
Norway,NOR,Unfed or algae fed shellfish,EMODnet Human Activities: Shellfish aquaculture,EMODnet Human Activities: Shellfish aquaculture,NA,Maps provide exact locations of bivalve farms.,2019,157,157,0,0
Peru,PER,Unfed or algae fed shellfish,"Aquaculture Stewardship Council Data Mapping Study; 
National Aquaculture Sector Overview, FAO Fisheries Division. Peru, 2005",Aquaculture Stewardship Council Data Mapping Study,"National Aquaculture Sector Overview, FAO Fisheries Division. Peru, 2005","Map provides points for 25 ASC certified farms (may include inactive farms). This data is not comprehensive. Because of this 27 more farms were added based on FAO documentation, and placed using our suitability layer.","2021, 2005",52,25,27,0
Philippines,PHL,Unfed or algae fed shellfish,"Report Of The Workshop and Study Tour On Mollusc Sanitation And Marketing, 1989",NA,"Report Of The Workshop and Study Tour On Mollusc Sanitation And Marketing, 1989","556 farms were allocated based on FAO documentation, and placed using our suitability layer.",1989,556,0,556,0
Portugal,PRT,Unfed or algae fed shellfish,"Aquaculture Stewardship Council Data Mapping Study; 

Estatísticas da Pesca, 2020",Aquaculture Stewardship Council Data Mapping Study,"Estatísticas da Pesca, 2020","Map provides points for 1 ASC certified farm. This data is not comprehensive. Because of this 29 more farms were added based on governmental documentation, and placed using our suitability layer.","2021, 2020",30,1,29,0
Republic of Korea,KOR,Unfed or algae fed shellfish,"Aquaculture Stewardship Council Data Mapping Study; 
National Aquaculture Sector Overview, FAO Fisheries Division. Republic of Korea, 2005",Aquaculture Stewardship Council Data Mapping Study,"National Aquaculture Sector Overview, FAO Fisheries Division. Republic of Korea, 2005","Map provides points for 27 ASC certified farms (may include inactive farms). This data is not comprehensive. Because of this 5218 more farms were added based on FAO documentation, and placed using our suitability layer.","2021, 2005",5245,27,5218,0
Russian Federation,RUS,Unfed or algae fed shellfish,NA,NA,NA,"There was no available information on the number of farms or locations of farms in Russia. We estimated a number of farms based on a global tonnes per farm, and placed 29 shellfish farms along the coast using our suitability layer.",NA,29,0,0,29
Slovenia,SVN,Unfed or algae fed shellfish,"National Aquaculture Sector Overview. FAO Fisheries Division. Slovenia, 2017",NA,"National Aquaculture Sector Overview. FAO Fisheries Division. Slovenia, 2017","20 farms were allocated based on FAO documentation, and placed using our suitability layer.",2017,20,0,20,0
South Africa,ZAF,Unfed or algae fed shellfish,"Aquaculture Stewardship Council Data Mapping Study; 

Troell et al. 2006.; 

Louw, M., n.d. Mussel Production",Aquaculture Stewardship Council Data Mapping Study,"Troell et al. 2006.; Louw, M., n.d. Mussel Production",Map provides points for 2 ASC certified farms (may include inactive farms). This data is not comprehensive. Because of this 23 more farms were added based on government documentation and reporting by Troell et al. 2006. The additional points were placed using our suitability layer.,"2021, 2006, 2019",25,2,23,0
Spain,ESP,Unfed or algae fed shellfish,NA,NA,NA,"There was no available information on the number of farms or locations of farms in Spain. We estimated a number of farms based on a global tonnes per farm, and placed 856 shellfish farms along the Spanish coast using our suitability layer.",NA,856,0,0,856
Sweden,SWE,Unfed or algae fed shellfish,"HELCOM HOLAS II Dataset: Shellfish mariculture, 2017","HELCOM HOLAS II Dataset: Shellfish mariculture, 2017",NA,"Map provides points for 3 farms (may include inactive farms). This data is not comprehensive. Because of this 5 more farms were estimated using our gapfilling technique, and placed using our suitability layer.",2017,8,3,0,5
Taiwan,TWN,Unfed or algae fed shellfish,NA,NA,NA,"There was no available information on the number of farms or locations of farms in Taiwan. We estimated a number of farms based on a global tonnes per farm, and placed 266 shellfish farms along the coast using our suitability layer.",NA,266,0,0,266
