"iso3c","country","year","group","n_farms","fao_tonnes_production"
"SGP","Singapore",2017,"marine_fish_general",109,2907.2
"SVN","Slovenia",2017,"bivalve",20,641.4
"SWE","Sweden",2017,"bivalve",3,2014
"SWE","Sweden",2017,"salmon",22,2856
"THA","Thailand",2017,"bivalve",4,97728
"THA","Thailand",2017,"marine_fish_general",1,22455
"THA","Thailand",2017,"shrimp",18,359271
"TUN","Tunisia",2017,"marine_fish_general",20,20289
"TUR","Turkey",2017,"marine_fish_general",22,161758
"TUR","Turkey",2017,"salmon",12,5952
"TUR","Turkey",2017,"tuna",3,777
"TWN","Taiwan Province of China",2017,"marine_fish_general",66,73899.34
"USA","United States of America",2017,"bivalve",458,171497
"USA","United States of America",2017,"marine_fish_general",1,1643
"USA","United States of America",2017,"salmon",30,14685
"USA","United States of America",2017,"shrimp",10,1633
"VEN","Venezuela, Boliv Rep of",2017,"shrimp",11,24500
"VNM","Viet Nam",2017,"bivalve",1,284965.52
"VNM","Viet Nam",2017,"marine_fish_general",5,13249.34
"VNM","Viet Nam",2017,"shrimp",173,708403.73
"ZAF","South Africa",2017,"bivalve",2,3359.52
"BGD","Bangladesh",2017,"crustaceans",NA,14421
"BGD","Bangladesh",2017,"marine_fish_general",NA,116110
"BRA","Brazil",2017,"shrimp",NA,60000
"CHN","China",2017,"crustaceans",NA,286031
"CHN","China",2017,"marine_fish_general",NA,1419359
"ESP","Spain",2017,"bivalve",NA,242482.57
"IDN","Indonesia",2017,"crustaceans",NA,13189
"IRN","Iran (Islamic Rep. of)",2017,"marine_fish_general",NA,14050
"JPN","Japan",2017,"shrimp",NA,1354
"KHM","Cambodia",2017,"bivalve",NA,8300
"KHM","Cambodia",2017,"marine_fish_general",NA,850
"KHM","Cambodia",2017,"shrimp",NA,1000
"KOR","Korea, Republic of",2017,"shrimp",NA,5144
"MMR","Myanmar",2017,"crustaceans",NA,3037.63
"MMR","Myanmar",2017,"shrimp",NA,55309.51
"MUS","Mauritius",2017,"marine_fish_general",NA,1200
"MYS","Malaysia",2017,"bivalve",NA,16110.88
"PHL","Philippines",2017,"crustaceans",NA,18097.5
"PHL","Philippines",2017,"marine_fish_general",NA,365198.3
"RUS","Russian Federation",2017,"bivalve",NA,8087
"RUS","Russian Federation",2017,"salmon",NA,13016
"SLV","El Salvador",2017,"shrimp",NA,1150
"TWN","Taiwan Province of China",2017,"bivalve",NA,75240.97
"TWN","Taiwan Province of China",2017,"shrimp",NA,5000.97
"VNM","Viet Nam",2017,"crustaceans",NA,66942.96
