country,species,fao_major_area,environment,year,value,iso3c,Taxon_code,family,notes,notes_2,aq_group
Sweden,Rainbow trout,"Atlantic, Northeast",Marine,2017,2856,SWE,F,Salmonidae,"Farmed steelhead trout also is rainbow trout, but it is farmed in saltwater netpens in the same manner as Atlantic salmon in countries",NA,salmonids
Turkey,Rainbow trout,Mediterranean and Black Sea,Marine,2017,4972,TUR,F,Salmonidae,"Farmed steelhead trout also is rainbow trout, but it is farmed in saltwater netpens in the same manner as Atlantic salmon in countries",NA,salmonids
Turkey,Trouts nei,Mediterranean and Black Sea,Marine,2017,980,TUR,F,Sciaenidae,"Farmed steelhead trout also is rainbow trout, but it is farmed in saltwater netpens in the same manner as Atlantic salmon in countries",NA,salmonids
United Kingdom,Atlantic salmon,"Atlantic, Northeast",Marine,2017,189707,GBR,F,Salmonidae,NA,NA,salmonids
United Kingdom,Rainbow trout,"Atlantic, Northeast",Marine,2017,3482,GBR,F,Salmonidae,"Farmed steelhead trout also is rainbow trout, but it is farmed in saltwater netpens in the same manner as Atlantic salmon in countries",NA,salmonids
United States of America,Atlantic salmon,"Atlantic, Northwest",Marine,2017,14685,USA,F,Salmonidae,NA,NA,salmonids
Albania,Mediterranean mussel,Mediterranean and Black Sea,Marine,2017,430,ALB,BI,Mytilidae,NA,NA,bivalves
Algeria,Mediterranean mussel,Mediterranean and Black Sea,Brackishwater,2017,3,DZA,BI,Mytilidae,NA,NA,bivalves
Argentina,Blue mussel,"Atlantic, Southwest",Marine,2017,0.54,ARG,BI,Mytilidae,NA,NA,bivalves
Argentina,Cholga mussel,"Atlantic, Southwest",Marine,2017,0.2,ARG,BI,Mytilidae,NA,NA,bivalves
Argentina,Pacific cupped oyster,"Atlantic, Southwest",Marine,2017,16,ARG,BI,Ostreidae,NA,NA,bivalves
Australia,Abalones nei,"Indian Ocean, Eastern",Marine,2017,873.13,AUS,GAST,Haliotidae,Similar to bivlave practices,NA,bivalves
Australia,Australian mussel,"Indian Ocean, Eastern",Marine,2017,3811.33,AUS,BI,Hyriidae,NA,NA,bivalves
Australia,Flat and cupped oysters nei,"Indian Ocean, Eastern",Marine,2017,5158,AUS,BI,Ostreidae,NA,NA,bivalves
Australia,Pacific cupped oyster,"Indian Ocean, Eastern",Marine,2017,3004.25,AUS,BI,Ostreidae,NA,NA,bivalves
Australia,Flat and cupped oysters nei,"Pacific, Southwest",Marine,2017,3770,AUS,BI,Ostreidae,NA,NA,bivalves
Brazil,Cupped oysters nei,"Atlantic, Southwest",Marine,2017,2700,BRA,BI,Ostreidae,NA,NA,bivalves
Brazil,Pacific lion's paw,"Atlantic, Southwest",Marine,2017,10,BRA,BI,Pectinidae,NA,NA,bivalves
Brazil,South American rock mussel,"Atlantic, Southwest",Marine,2017,18200,BRA,BI,Mytilidae,NA,NA,bivalves
Bulgaria,Mediterranean mussel,Mediterranean and Black Sea,Marine,2017,3291.58,BGR,BI,Mytilidae,NA,NA,bivalves
Cambodia,Blood cockle,"Pacific, Western Central",Marine,2017,5000,KHM,BI,Arcidae,NA,NA,bivalves
Cambodia,Green mussel,"Pacific, Western Central",Marine,2017,3300,KHM,BI,Mytilidae,NA,NA,bivalves
Canada,American cupped oyster,"Atlantic, Northwest",Marine,2017,5788,CAN,BI,Ostreidae,NA,NA,bivalves
Canada,Blue mussel,"Atlantic, Northwest",Marine,2017,24187,CAN,BI,Mytilidae,NA,NA,bivalves
Canada,Butter clam,"Atlantic, Northwest",Marine,2017,529,CAN,BI,Arcidae,NA,NA,bivalves
Canada,Marine molluscs nei,"Atlantic, Northwest",Marine,2017,127,CAN,GAST,Mollusca,Similar to bivlave practices,NA,bivalves
Canada,Scallops nei,"Atlantic, Northwest",Marine,2017,1,CAN,BI,Pectinidae,NA,NA,bivalves
Canada,Blue mussel,"Pacific, Northeast",Marine,2017,261,CAN,BI,Mytilidae,NA,NA,bivalves
Canada,Japanese carpet shell,"Pacific, Northeast",Marine,2017,1095,CAN,BI,Veneridae,NA,NA,bivalves
Canada,Pacific cupped oyster,"Pacific, Northeast",Marine,2017,8012,CAN,BI,Ostreidae,NA,NA,bivalves
Canada,Scallops nei,"Pacific, Northeast",Marine,2017,74,CAN,BI,Pectinidae,NA,NA,bivalves
Chile,Chilean flat oyster,"Pacific, Southeast",Marine,2017,376.96,CHL,BI,Pteriidae,NA,NA,bivalves
Chile,Chilean mussel,"Pacific, Southeast",Marine,2017,338846,CHL,BI,Mytilidae,NA,NA,bivalves
Chile,Cholga mussel,"Pacific, Southeast",Marine,2017,1501.71,CHL,BI,Mytilidae,NA,NA,bivalves
Chile,Choro mussel,"Pacific, Southeast",Marine,2017,1078.98,CHL,BI,Mytilidae,NA,NA,bivalves
Chile,Japanese abalone,"Pacific, Southeast",Marine,2017,16.03,CHL,GAST,Haliotidae,Similar to bivlave practices,NA,bivalves
Chile,Pacific cupped oyster,"Pacific, Southeast",Marine,2017,57.18,CHL,BI,Ostreidae,NA,NA,bivalves
Chile,Peruvian calico scallop,"Pacific, Southeast",Marine,2017,4706.46,CHL,BI,Pectinidae,NA,NA,bivalves
Chile,Red abalone,"Pacific, Southeast",Marine,2017,1014.83,CHL,GAST,Haliotidae,Similar to bivlave practices,NA,bivalves
China,Abalones nei,"Pacific, Northwest",Marine,2017,148539,CHN,GAST,Haliotidae,Similar to bivlave practices,NA,bivalves
China,Aquatic invertebrates nei,"Pacific, Northwest",Marine,2017,45359,CHN,INV,Invertabrates,Similar to bivlave practices,NA,bivalves
China,Blood cockle,"Pacific, Northwest",Marine,2017,352619,CHN,BI,Arcidae,NA,NA,bivalves
China,Constricted tagelus,"Pacific, Northwest",Marine,2017,862541,CHN,BI,Pharidae,NA,NA,bivalves
China,Cupped oysters nei,"Pacific, Northwest",Marine,2017,4879422,CHN,BI,Ostreidae,NA,NA,bivalves
China,Japanese carpet shell,"Pacific, Northwest",Marine,2017,4177913,CHN,BI,Veneridae,NA,NA,bivalves
China,Japanese sea cucumber,"Pacific, Northwest",Marine,2017,219907,CHN,NS-INV,Stichopodidae,Similar to bivlave practices,NA,bivalves
China,Marine molluscs nei,"Pacific, Northwest",Marine,2017,743893,CHN,GAST,Mollusca,Similar to bivlave practices,NA,bivalves
China,Pearl oyster shells nei,"Pacific, Northwest",Marine,2017,2.27,CHN,BI,Pteriidae,NA,NA,bivalves
China,Pen shells nei,"Pacific, Northwest",Marine,2017,16503,CHN,BI,Pinnidae,NA,NA,bivalves
China,Scallops nei,"Pacific, Northwest",Marine,2017,2007529,CHN,BI,Pectinidae,NA,NA,bivalves
China,Sea mussels nei,"Pacific, Northwest",Marine,2017,927609,CHN,BI,Mytilidae,NA,NA,bivalves
China,Sea snails,"Pacific, Northwest",Marine,2017,254736,CHN,GAST,Liparidae,Similar to bivlave practices,NA,bivalves
China,Sea urchins nei,"Pacific, Northwest",Marine,2017,9708.16,CHN,URCH,Strongylocentrotidae,Similar to bivlave practices,NA,bivalves
"China, Hong Kong SAR",Cupped oysters nei,"Pacific, Northwest",Marine,2017,625,HKG,BI,Ostreidae,NA,NA,bivalves
Cook Islands,Giant clams nei,"Pacific, Eastern Central",Marine,2017,5,COK,BI,Cardiidae,NA,NA,bivalves
Cook Islands,Pacific asaphis,"Pacific, Eastern Central",Marine,2017,0.5,COK,BI,Veneridae,NA,NA,bivalves
Cook Islands,Rough turban,"Pacific, Eastern Central",Marine,2017,2,COK,GAST,Turbinidae,Similar to bivlave practices,NA,bivalves
Costa Rica,Pacific cupped oyster,"Pacific, Eastern Central",Brackishwater,2017,19,CRI,BI,Ostreidae,NA,NA,bivalves
Croatia,European flat oyster,Mediterranean and Black Sea,Marine,2017,62.05,HRV,BI,Ostreidae,NA,NA,bivalves
Croatia,Great Mediterranean scallop,Mediterranean and Black Sea,Marine,2017,0.04,HRV,BI,Pectinidae,NA,NA,bivalves
Croatia,Mediterranean mussel,Mediterranean and Black Sea,Marine,2017,919.76,HRV,BI,Mytilidae,NA,NA,bivalves
Cuba,Mangrove cupped oyster,"Atlantic, Western Central",Marine,2017,1089,CUB,BI,Ostreidae,NA,NA,bivalves
Denmark,Blue mussel,"Atlantic, Northeast",Marine,2017,2414,DNK,BI,Mytilidae,NA,NA,bivalves
Ecuador,Pacific cupped oyster,"Pacific, Southeast",Marine,2017,10,ECU,BI,Ostreidae,NA,NA,bivalves
El Salvador,Black ark,"Pacific, Eastern Central",Marine,2017,7,SLV,BI,Arcidae,NA,NA,bivalves
El Salvador,Cupped oysters nei,"Pacific, Eastern Central",Marine,2017,15,SLV,BI,Ostreidae,NA,NA,bivalves
El Salvador,Grand ark,"Pacific, Eastern Central",Marine,2017,3,SLV,BI,Arcidae,NA,NA,bivalves
France,Blue mussel,"Atlantic, Northeast",Marine,2017,46348,FRA,BI,Mytilidae,NA,NA,bivalves
France,"Clams, etc. nei","Atlantic, Northeast",Marine,2017,290,FRA,BI,Veneridae,NA,NA,bivalves
France,Common edible cockle,"Atlantic, Northeast",Marine,2017,1800,FRA,BI,Cardiidae,NA,NA,bivalves
France,European flat oyster,"Atlantic, Northeast",Marine,2017,700,FRA,BI,Ostreidae,NA,NA,bivalves
France,Japanese carpet shell,"Atlantic, Northeast",Marine,2017,600,FRA,BI,Veneridae,NA,NA,bivalves
France,Mediterranean mussel,"Atlantic, Northeast",Marine,2017,900,FRA,BI,Mytilidae,NA,NA,bivalves
France,Pacific cupped oyster,"Atlantic, Northeast",Marine,2017,73200,FRA,BI,Ostreidae,NA,NA,bivalves
France,Tuberculate abalone,"Atlantic, Northeast",Marine,2017,7,FRA,GAST,Haliotidae,Similar to bivlave practices,NA,bivalves
France,Blue mussel,Mediterranean and Black Sea,Marine,2017,400,FRA,BI,Mytilidae,NA,NA,bivalves
France,"Clams, etc. nei",Mediterranean and Black Sea,Marine,2017,10,FRA,BI,Veneridae,NA,NA,bivalves
France,Common edible cockle,Mediterranean and Black Sea,Marine,2017,10,FRA,BI,Cardiidae,NA,NA,bivalves
France,European flat oyster,Mediterranean and Black Sea,Marine,2017,10,FRA,BI,Ostreidae,NA,NA,bivalves
France,Japanese carpet shell,Mediterranean and Black Sea,Marine,2017,70,FRA,BI,Veneridae,NA,NA,bivalves
France,Mediterranean mussel,Mediterranean and Black Sea,Marine,2017,9500,FRA,BI,Mytilidae,NA,NA,bivalves
France,Pacific cupped oyster,Mediterranean and Black Sea,Marine,2017,4000,FRA,BI,Ostreidae,NA,NA,bivalves
French Polynesia,Blacklip pearl oyster,"Pacific, Eastern Central",Marine,2017,1200,PYF,BI,Pteriidae,NA,NA,bivalves
French Polynesia,Pearl oyster shells nei,"Pacific, Eastern Central",Marine,2017,10,PYF,BI,Pteriidae,NA,NA,bivalves
Gambia,Gasar cupped oyster,"Atlantic, Eastern Central",Brackishwater,2017,20,GMB,BI,Ostreidae,NA,NA,bivalves
Germany,Blue mussel,"Atlantic, Northeast",Marine,2017,16856,DEU,BI,Mytilidae,NA,NA,bivalves
Germany,Pacific cupped oyster,"Atlantic, Northeast",Marine,2017,80,DEU,BI,Ostreidae,NA,NA,bivalves
Greece,Marine molluscs nei,Mediterranean and Black Sea,Marine,2017,90.3,GRC,GAST,Mollusca,Similar to bivlave practices,NA,bivalves
Greece,Mediterranean mussel,Mediterranean and Black Sea,Marine,2017,19155.8,GRC,BI,Mytilidae,NA,NA,bivalves
Guernsey,Blue mussel,"Atlantic, Northeast",Marine,2017,31.2,GGY,BI,Mytilidae,NA,NA,bivalves
Guernsey,Great Atlantic scallop,"Atlantic, Northeast",Marine,2017,0.8,GGY,BI,Pectinidae,NA,NA,bivalves
Guernsey,Pacific cupped oyster,"Atlantic, Northeast",Marine,2017,656.1,GGY,BI,Ostreidae,NA,NA,bivalves
Iceland,Blue mussel,"Atlantic, Northeast",Marine,2017,82.7,ISL,BI,Mytilidae,NA,NA,bivalves
India,Green mussel,"Indian Ocean, Western",Marine,2017,9000,IND,BI,Mytilidae,NA,NA,bivalves
India,Indian backwater oyster,"Indian Ocean, Western",Marine,2017,4000,IND,BI,Ostreidae,NA,NA,bivalves
Indonesia,Penguin wing oyster,"Pacific, Western Central",Marine,2017,60227,IDN,BI,Pteriidae,NA,NA,bivalves
Indonesia,Sea cucumbers nei,"Pacific, Western Central",Marine,2017,2004,IDN,NS-INV,Cucumriidae,Similar to bivlave practices,NA,bivalves
Ireland,Aquatic invertebrates nei,"Atlantic, Northeast",Marine,2017,4.2,IRL,INV,Invertabrates,Similar to bivlave practices,NA,bivalves
Ireland,Blue mussel,"Atlantic, Northeast",Marine,2017,16340,IRL,BI,Mytilidae,NA,NA,bivalves
Ireland,European flat oyster,"Atlantic, Northeast",Marine,2017,237,IRL,BI,Ostreidae,NA,NA,bivalves
Ireland,Pacific cupped oyster,"Atlantic, Northeast",Marine,2017,9821.9,IRL,BI,Ostreidae,NA,NA,bivalves
Italy,Grooved carpet shell,Mediterranean and Black Sea,Brackishwater,2017,3000,ITA,BI,Veneridae,NA,NA,bivalves
Italy,Japanese carpet shell,Mediterranean and Black Sea,Brackishwater,2017,33500,ITA,BI,Veneridae,NA,NA,bivalves
Italy,Pacific cupped oyster,Mediterranean and Black Sea,Brackishwater,2017,145,ITA,BI,Ostreidae,NA,NA,bivalves
Italy,Mediterranean mussel,Mediterranean and Black Sea,Marine,2017,63700,ITA,BI,Mytilidae,NA,NA,bivalves
Japan,Aquatic invertebrates nei,"Pacific, Northwest",Marine,2017,137,JPN,INV,Invertabrates,Similar to bivlave practices,NA,bivalves
Japan,"Clams, etc. nei","Pacific, Northwest",Marine,2017,447,JPN,BI,Veneridae,NA,NA,bivalves
Japan,Pacific cupped oyster,"Pacific, Northwest",Marine,2017,173900,JPN,BI,Ostreidae,NA,NA,bivalves
Japan,Pearl oyster shells nei,"Pacific, Northwest",Marine,2017,20.1,JPN,BI,Pteriidae,NA,NA,bivalves
Japan,Yesso scallop,"Pacific, Northwest",Marine,2017,135090,JPN,BI,Pectinidae,NA,NA,bivalves
Jersey,Blue mussel,"Atlantic, Northeast",Marine,2017,31.2,JEY,BI,Mytilidae,NA,NA,bivalves
Jersey,Great Atlantic scallop,"Atlantic, Northeast",Marine,2017,0.8,JEY,BI,Pectinidae,NA,NA,bivalves
Jersey,Pacific cupped oyster,"Atlantic, Northeast",Marine,2017,656.1,JEY,BI,Ostreidae,NA,NA,bivalves
"Korea, Dem. People's Rep","Clams, etc. nei","Pacific, Northwest",Marine,2017,62000,PRK,BI,Veneridae,NA,NA,bivalves
"Korea, Dem. People's Rep",Japanese sea cucumber,"Pacific, Northwest",Marine,2017,100,PRK,NS-INV,Stichopodidae,Similar to bivlave practices,NA,bivalves
"Korea, Dem. People's Rep",Yesso scallop,"Pacific, Northwest",Marine,2017,300,PRK,BI,Pectinidae,NA,NA,bivalves
"Korea, Republic of",Abalones nei,"Pacific, Northwest",Marine,2017,16027,KOR,GAST,Haliotidae,Similar to bivlave practices,NA,bivalves
"Korea, Republic of",Blood cockle,"Pacific, Northwest",Marine,2017,85,KOR,BI,Arcidae,NA,NA,bivalves
"Korea, Republic of",Globose clam,"Pacific, Northwest",Marine,2017,52,KOR,BI,Cardiidae,NA,NA,bivalves
"Korea, Republic of",Inflated ark,"Pacific, Northwest",Marine,2017,4125,KOR,BI,Arcidae,NA,NA,bivalves
"Korea, Republic of",Japanese carpet shell,"Pacific, Northwest",Marine,2017,10435,KOR,BI,Veneridae,NA,NA,bivalves
"Korea, Republic of",Japanese sea cucumber,"Pacific, Northwest",Marine,2017,32,KOR,NS-INV,Stichopodidae,Similar to bivlave practices,NA,bivalves
"Korea, Republic of",Korean mussel,"Pacific, Northwest",Marine,2017,76161,KOR,BI,Mytilidae,NA,NA,bivalves
"Korea, Republic of",Oriental cyclina,"Pacific, Northwest",Marine,2017,2,KOR,BI,Veneridae,NA,NA,bivalves
"Korea, Republic of",Pacific cupped oyster,"Pacific, Northwest",Marine,2017,315255,KOR,BI,Ostreidae,NA,NA,bivalves
"Korea, Republic of",Sea squirts nei,"Pacific, Northwest",Marine,2017,28138,KOR,TUN,Pyuridae,Similar to bivlave practices,NA,bivalves
"Korea, Republic of",Yesso scallop,"Pacific, Northwest",Marine,2017,3493,KOR,BI,Pectinidae,NA,NA,bivalves
Madagascar,Sandfish,"Indian Ocean, Western",Marine,2017,98.8,MDG,NS-INV,Trichodontidae,Similar to bivlave practices,NA,bivalves
Malaysia,Blood cockle,"Indian Ocean, Eastern",Marine,2017,11807.28,MYS,BI,Arcidae,NA,NA,bivalves
Malaysia,Cupped oysters nei,"Indian Ocean, Eastern",Marine,2017,41.49,MYS,BI,Ostreidae,NA,NA,bivalves
Malaysia,Green mussel,"Indian Ocean, Eastern",Marine,2017,6.5,MYS,BI,Mytilidae,NA,NA,bivalves
Malaysia,Blood cockle,"Pacific, Western Central",Marine,2017,675.06,MYS,BI,Arcidae,NA,NA,bivalves
Malaysia,Broad geloina,"Pacific, Western Central",Marine,2017,35.47,MYS,BI,Arcidae,NA,NA,bivalves
Malaysia,Cupped oysters nei,"Pacific, Western Central",Marine,2017,1360.75,MYS,BI,Ostreidae,NA,NA,bivalves
Malaysia,Green mussel,"Pacific, Western Central",Marine,2017,2267.79,MYS,BI,Mytilidae,NA,NA,bivalves
Malaysia,Sandfish,"Pacific, Western Central",Marine,2017,13.09,MYS,NS-INV,Trichodontidae,Similar to bivlave practices,NA,bivalves
Mauritius,Hooded oyster,"Indian Ocean, Western",Marine,2017,3,MUS,BI,Ostreidae,NA,NA,bivalves
Mexico,Cortez oyster,"Atlantic, Western Central",Brackishwater,2017,5531.05,MEX,BI,Ostreidae,NA,NA,bivalves
Mexico,Cortez oyster,"Pacific, Eastern Central",Brackishwater,2017,1826.93,MEX,BI,Ostreidae,NA,NA,bivalves
Mexico,Abalones nei,"Pacific, Eastern Central",Marine,2017,2.38,MEX,GAST,Haliotidae,Similar to bivlave practices,NA,bivalves
Mexico,"Clams, etc. nei","Pacific, Eastern Central",Marine,2017,508.46,MEX,BI,Veneridae,NA,NA,bivalves
Mexico,Pacific cupped oyster,"Pacific, Eastern Central",Marine,2017,7533.84,MEX,BI,Ostreidae,NA,NA,bivalves
Mexico,Red abalone,"Pacific, Eastern Central",Marine,2017,23.51,MEX,GAST,Haliotidae,Similar to bivlave practices,NA,bivalves
Mexico,Sea mussels nei,"Pacific, Eastern Central",Marine,2017,205.82,MEX,BI,Mytilidae,NA,NA,bivalves
Montenegro,European flat oyster,Mediterranean and Black Sea,Marine,2017,17,MNE,BI,Ostreidae,NA,NA,bivalves
Montenegro,Mediterranean mussel,Mediterranean and Black Sea,Marine,2017,197,MNE,BI,Mytilidae,NA,NA,bivalves
Morocco,Pacific cupped oyster,"Atlantic, Eastern Central",Brackishwater,2017,411,MAR,BI,Ostreidae,NA,NA,bivalves
Myanmar,Aquatic invertebrates nei,"Indian Ocean, Eastern",Marine,2017,171.25,MMR,INV,Invertabrates,Similar to bivlave practices,NA,bivalves
Namibia,Mediterranean mussel,"Atlantic, Southeast",Marine,2017,15,NAM,BI,Mytilidae,NA,NA,bivalves
Namibia,Pacific cupped oyster,"Atlantic, Southeast",Marine,2017,367.34,NAM,BI,Ostreidae,NA,NA,bivalves
Netherlands,Aquatic invertebrates nei,"Atlantic, Northeast",Marine,2017,100,NLD,INV,Invertabrates,Similar to bivlave practices,NA,bivalves
Netherlands,Blue mussel,"Atlantic, Northeast",Marine,2017,44000,NLD,BI,Mytilidae,NA,NA,bivalves
Netherlands,Cupped oysters nei,"Atlantic, Northeast",Marine,2017,2250,NLD,BI,Ostreidae,NA,NA,bivalves
Netherlands,European flat oyster,"Atlantic, Northeast",Marine,2017,350,NLD,BI,Ostreidae,NA,NA,bivalves
New Zealand,New Zealand mussel,"Pacific, Southwest",Marine,2017,99716,NZL,BI,Mytilidae,NA,NA,bivalves
New Zealand,Pacific cupped oyster,"Pacific, Southwest",Marine,2017,1834,NZL,BI,Ostreidae,NA,NA,bivalves
New Zealand,Rainbow abalone,"Pacific, Southwest",Marine,2017,90,NZL,GAST,Haliotidae,Similar to bivlave practices,NA,bivalves
Norway,Blue mussel,"Atlantic, Northeast",Marine,2017,2382.87,NOR,BI,Mytilidae,NA,NA,bivalves
Norway,European flat oyster,"Atlantic, Northeast",Marine,2017,17.36,NOR,BI,Ostreidae,NA,NA,bivalves
Norway,Great Atlantic scallop,"Atlantic, Northeast",Marine,2017,28.51,NOR,BI,Pectinidae,NA,NA,bivalves
Palau,Bear paw clam,"Pacific, Western Central",Marine,2017,4.4,PLW,BI,Cardiidae,NA,NA,bivalves
Palau,Crocus giant clam,"Pacific, Western Central",Marine,2017,1.5,PLW,BI,Veneridae,NA,NA,bivalves
Palau,Elongate giant clam,"Pacific, Western Central",Marine,2017,0.2,PLW,BI,Cardiidae,NA,NA,bivalves
Palau,Smooth giant clam,"Pacific, Western Central",Marine,2017,0.2,PLW,BI,Cardiidae,NA,NA,bivalves
Papua New Guinea,Giant clams nei,"Pacific, Western Central",Marine,2017,1,PNG,BI,Cardiidae,NA,NA,bivalves
Peru,Peruvian calico scallop,"Pacific, Southeast",Marine,2017,11926.98,PER,BI,Pectinidae,NA,NA,bivalves
Philippines,Green mussel,"Pacific, Western Central",Marine,2017,19208.6,PHL,BI,Mytilidae,NA,NA,bivalves
Philippines,Slipper cupped oyster,"Pacific, Western Central",Marine,2017,22944.4,PHL,BI,Ostreidae,NA,NA,bivalves
Portugal,European flat oyster,"Atlantic, Northeast",Brackishwater,2017,23.33,PRT,BI,Ostreidae,NA,NA,bivalves
Portugal,Pacific cupped oyster,"Atlantic, Northeast",Brackishwater,2017,825,PRT,BI,Ostreidae,NA,NA,bivalves
Portugal,Common edible cockle,"Atlantic, Northeast",Marine,2017,287.59,PRT,BI,Cardiidae,NA,NA,bivalves
Portugal,Cupped oysters nei,"Atlantic, Northeast",Marine,2017,337,PRT,BI,Ostreidae,NA,NA,bivalves
Portugal,Golden carpet shell,"Atlantic, Northeast",Marine,2017,37.33,PRT,BI,Veneridae,NA,NA,bivalves
Portugal,Grooved carpet shell,"Atlantic, Northeast",Marine,2017,3832.01,PRT,BI,Veneridae,NA,NA,bivalves
Portugal,Pullet carpet shell,"Atlantic, Northeast",Marine,2017,17.79,PRT,BI,Veneridae,NA,NA,bivalves
Portugal,Sea mussels nei,"Atlantic, Northeast",Marine,2017,1722.32,PRT,BI,Mytilidae,NA,NA,bivalves
Portugal,Solen razor clams nei,"Atlantic, Northeast",Marine,2017,10.38,PRT,BI,Soleidae,NA,NA,bivalves
Russian Federation,Sea mussels nei,"Atlantic, Northeast",Marine,2017,30,RUS,BI,Mytilidae,NA,NA,bivalves
Russian Federation,Cupped oysters nei,Mediterranean and Black Sea,Marine,2017,442,RUS,BI,Ostreidae,NA,NA,bivalves
Russian Federation,Sea mussels nei,Mediterranean and Black Sea,Marine,2017,659,RUS,BI,Mytilidae,NA,NA,bivalves
Russian Federation,Aquatic invertebrates nei,"Pacific, Northwest",Marine,2017,2,RUS,INV,Invertabrates,Similar to bivlave practices,NA,bivalves
Russian Federation,Cupped oysters nei,"Pacific, Northwest",Marine,2017,89,RUS,BI,Ostreidae,NA,NA,bivalves
